parcel_id,property_address,assessed_value,owner_name,property_type,last_assessment_date
PAR000000,0 Main Street,250000,Owner 0,Residential,2025-09-19T00:39:35.916213
PAR000001,1 Main Street,251000,Owner 1,Residential,2025-09-19T00:39:35.916225
PAR000002,2 Main Street,252000,Owner 2,Residential,2025-09-19T00:39:35.916227
PAR000003,3 Main Street,253000,Owner 3,Residential,2025-09-19T00:39:35.916229
PAR000004,4 Main Street,254000,Owner 4,Residential,2025-09-19T00:39:35.916241
PAR000005,5 Main Street,255000,Owner 5,Residential,2025-09-19T00:39:35.916243
PAR000006,6 Main Street,256000,Owner 6,Residential,2025-09-19T00:39:35.916244
PAR000007,7 Main Street,257000,Owner 7,Residential,2025-09-19T00:39:35.916246
PAR000008,8 Main Street,258000,Owner 8,Residential,2025-09-19T00:39:35.916247
PAR000009,9 Main Street,259000,Owner 9,Residential,2025-09-19T00:39:35.916249
PAR000010,10 Main Street,260000,Owner 10,Residential,2025-09-19T00:39:35.916250
PAR000011,11 Main Street,261000,Owner 11,Residential,2025-09-19T00:39:35.916251
PAR000012,12 Main Street,262000,Owner 12,Residential,2025-09-19T00:39:35.916253
PAR000013,13 Main Street,263000,Owner 13,Residential,2025-09-19T00:39:35.916254
PAR000014,14 Main Street,264000,Owner 14,Residential,2025-09-19T00:39:35.916255
PAR000015,15 Main Street,265000,Owner 15,Residential,2025-09-19T00:39:35.916257
PAR000016,16 Main Street,266000,Owner 16,Residential,2025-09-19T00:39:35.916258
PAR000017,17 Main Street,267000,Owner 17,Residential,2025-09-19T00:39:35.916259
PAR000018,18 Main Street,268000,Owner 18,Residential,2025-09-19T00:39:35.916260
PAR000019,19 Main Street,269000,Owner 19,Residential,2025-09-19T00:39:35.916262
PAR000020,20 Main Street,270000,Owner 20,Residential,2025-09-19T00:39:35.916263
PAR000021,21 Main Street,271000,Owner 21,Residential,2025-09-19T00:39:35.916264
PAR000022,22 Main Street,272000,Owner 22,Residential,2025-09-19T00:39:35.916265
PAR000023,23 Main Street,273000,Owner 23,Residential,2025-09-19T00:39:35.916267
PAR000024,24 Main Street,274000,Owner 24,Residential,2025-09-19T00:39:35.916274
PAR000025,25 Main Street,275000,Owner 25,Residential,2025-09-19T00:39:35.916276
PAR000026,26 Main Street,276000,Owner 26,Residential,2025-09-19T00:39:35.916277
PAR000027,27 Main Street,277000,Owner 27,Residential,2025-09-19T00:39:35.916279
PAR000028,28 Main Street,278000,Owner 28,Residential,2025-09-19T00:39:35.916280
PAR000029,29 Main Street,279000,Owner 29,Residential,2025-09-19T00:39:35.916281
PAR000030,30 Main Street,280000,Owner 30,Residential,2025-09-19T00:39:35.916283
PAR000031,31 Main Street,281000,Owner 31,Residential,2025-09-19T00:39:35.916284
PAR000032,32 Main Street,282000,Owner 32,Residential,2025-09-19T00:39:35.916285
PAR000033,33 Main Street,283000,Owner 33,Residential,2025-09-19T00:39:35.916287
PAR000034,34 Main Street,284000,Owner 34,Residential,2025-09-19T00:39:35.916288
PAR000035,35 Main Street,285000,Owner 35,Residential,2025-09-19T00:39:35.916289
PAR000036,36 Main Street,286000,Owner 36,Residential,2025-09-19T00:39:35.916290
PAR000037,37 Main Street,287000,Owner 37,Residential,2025-09-19T00:39:35.916292
PAR000038,38 Main Street,288000,Owner 38,Residential,2025-09-19T00:39:35.916293
PAR000039,39 Main Street,289000,Owner 39,Residential,2025-09-19T00:39:35.916294
