transaction_id,account_code,amount,transaction_date,description
TXN00000000,101-000,0.0,2025-09-16T09:52:45.433758,Transaction 0
TXN00000001,101-001,123.45,2025-09-16T09:52:45.433774,Transaction 1
TXN00000002,101-002,246.9,2025-09-16T09:52:45.433779,Transaction 2
TXN00000003,101-003,370.35,2025-09-16T09:52:45.433783,Transaction 3
TXN00000004,101-004,493.8,2025-09-16T09:52:45.433786,Transaction 4
TXN00000005,101-005,617.25,2025-09-16T09:52:45.433790,Transaction 5
TXN00000006,101-006,740.7,2025-09-16T09:52:45.433794,Transaction 6
TXN00000007,101-007,864.15,2025-09-16T09:52:45.433797,Transaction 7
TXN00000008,101-008,987.6,2025-09-16T09:52:45.433800,Transaction 8
TXN00000009,101-009,1111.05,2025-09-16T09:52:45.433803,Transaction 9
TXN00000010,101-000,1234.5,2025-09-16T09:52:45.433806,Transaction 10
TXN00000011,101-001,1357.95,2025-09-16T09:52:45.433809,Transaction 11
TXN00000012,101-002,1481.4,2025-09-16T09:52:45.433812,Transaction 12
TXN00000013,101-003,1604.85,2025-09-16T09:52:45.433815,Transaction 13
TXN00000014,101-004,1728.3,2025-09-16T09:52:45.433818,Transaction 14
TXN00000015,101-005,1851.75,2025-09-16T09:52:45.433821,Transaction 15
TXN00000016,101-006,1975.2,2025-09-16T09:52:45.433824,Transaction 16
TXN00000017,101-007,2098.65,2025-09-16T09:52:45.433827,Transaction 17
TXN00000018,101-008,2222.1,2025-09-16T09:52:45.433830,Transaction 18
TXN00000019,101-009,2345.55,2025-09-16T09:52:45.433833,Transaction 19
TXN00000020,101-000,2469.0,2025-09-16T09:52:45.433836,Transaction 20
TXN00000021,101-001,2592.45,2025-09-16T09:52:45.433839,Transaction 21
TXN00000022,101-002,2715.9,2025-09-16T09:52:45.433842,Transaction 22
TXN00000023,101-003,2839.35,2025-09-16T09:52:45.433845,Transaction 23
TXN00000024,101-004,2962.8,2025-09-16T09:52:45.433848,Transaction 24
TXN00000025,101-005,3086.25,2025-09-16T09:52:45.433851,Transaction 25
TXN00000026,101-006,3209.7,2025-09-16T09:52:45.433854,Transaction 26
TXN00000027,101-007,3333.15,2025-09-16T09:52:45.433857,Transaction 27
TXN00000028,101-008,3456.6,2025-09-16T09:52:45.433859,Transaction 28
TXN00000029,101-009,3580.05,2025-09-16T09:52:45.433862,Transaction 29
